politician_name,revision_id
Hubert Klausner,1242810704
Martin Kocher,1241392879
Reinhold Lopatka,1250933660
Brigitta Pallauf,1215184008
Christoph Matznetter,1250934182
Ferdinand Mannlicher,1250188481
Franz Moroder,1228417930
Heidemaria Onodi,1246630894
Heinz Nittel,1226214871
Johann Anton von Pergen,1248404055
Johann Gregor Memhardt,1226209962
Renate Mann,1099978355
Wladimir von Pawlowski,1242446030
Emil Sax,1215185845
Gerhard Pfanzelter,1238011369
Horst Rosenkranz,1215185628
Karl Schmitzer,1215186109
Leopold Poetsch,1251056800
Peter Schieder,1239601735
Sonja Zwazl,1235856770
Thomas Prinzhorn,1215185462
Walter Pfrimer,1249288737
Alexander Zach,1215187552
Anton von Winzor,1231556425
Gisela Wurm,1215187415
Gundaker Thomas Starhemberg,1246777408
Josef Staribacher,1215186443
Julius Tandler,1153989705
Karl Freiherr von Vogelsang,1231556362
Aliabbas Salahzade,1211047878
Dilara Aliyeva,1236388140
Elchin Afandiyev,1243626881
Enver Alikhanov,1161577254
Fazail Agamali,1250642641
Karl von Zinzendorf,1240906258
Leyla Abdullayeva,1230366514
Muzamil Abdullayev,1223484511
Tarlan Aliyarbayov,1240965677
Akram Aylisli,1247420701
Ali Asadov,1237483914
Alovsat Bakhshiyev,1207738330
Araz Alizadeh,1246060446
Ashraf Bey Taghiyev,1213943020
Bakhish bey Rustambeyov,1246060690
Chimnaz Aslanova,1245503366
Huseyngulu Baghirov,1199215674
Mirgasim Cheshmazer,1226415908
Sahil Babayev,1207600921
Abdurrahman Fatalibeyli,1241052691
Afshan Gadimbeyova,1243747432
Fazail Ibrahimli,1243509483
Gudrat Gasanguliev,1234004989
Mammad Gurbanov,1237445893
Solomon Grobshtein,1067081975
Teymur Guliyev,1232296078
Vilayat Eyvazov,1208072134
Ali Huseynli,1245270394
Ali M. Hasanov,1245282668
Asaf Hajiyev,1235219197
Farhad Hajiyev,1246286594
Haji Molla Ahmad Nuruzade,1239189558
Hasan Hasanli,1244589428
Hasan Majidov,1236490430
Jamil Hasanli,1248447237
Musa Hacigasimov,1236490449
Zakir Hasanov,1224596001
Ajdar Ismailov,1157124148
Ali Ibrahimov,1244157806
Alisahib Huseynov,1246588423
Arastun Javadov,1147579900
Irshad Aliyev,1225308278
Jeyhun Jalilov,1228687346
Mamed Iskenderov,1244201378
Rovshan Javadov,1250266366
Saftar Jafarov,1222623261
Vidadi Isgandarov,1249203876
Ahmad Kordary,1187254621
Anar Karimov,1245270299
Boris Kevorkov,1217681945
Gurban Khalilov,1243520102
Ilham Madatov,1011331249
Lutfali bey Behbudov,1226230854
Majnun Mammadov,1248225337
Makhmud Mamed-Guliev,1243510539
Musa Mammadov,1243510550
Ramin Mammadov,1248662299
Eldar Namazov,1206211739
Elshad Mirbashir oghlu,1194162044
Fuad Naghiyev,1248662296
Movsum Samadov,1241255046
Namig Nasrullayev,1158375491
Sadig Rahimov,1245157534
Siyavush Novruzov,1243520070
Suleyman Rahimov,1193027962
Tahir Mirkishili,1210593900
Zahid Oruj,1213965350
Abid Sharifov,1243510547
Bakhtiyar Vahabzadeh,1249675761
Hasan Seyidov,1148385245
Huseyn Rahmanov,1106104383
Ikhtiyar Shirinov,1243510572
Mammad agha Shahtakhtinski,1185599926
Parviz Shahbazov,1213858589
Rovshen Rzayev,1208078338
Shirali Akhundov,1213002608
Eugene Dupuch,1181612386
Harold Christie,1142294843
Joseph Robert Love,1177467150
McKell Bonaby,1238577650
Nurali Yusifbayli,1243510541
Timothy Donaldson,1245586658
Yusif Ziya Talibzadeh,1243510546
Abdulla Adel Fakhro,1223700072
Abdullah bin Isa Al Khalifa,1182830303
Aymen Tawfeeq Almoayed,1227286508
Khalid Almoayed,1215466172
Mohamed Ali Hasan Ali,1006173162
Mohammed Isa Al Abbasi,1171757402
Pakesia Parker-Edgecombe,1226025677
Ammar Al Bannai,1231654401
Faisal al-Hamar,1218302538
Isa bin Abdulrahman Al Hammadi,1098344827
Isa bin Ibrahim Al Khalifa,1146485875
Jameel Humadan,1148959062
Jawad Fairooz,1177286981
Mahmood Al Bahrani,1161492589
Nabeel bin Yaqub Al-Hamar,1159628135
Nazar Al Baharna,1241906132
Qasim Fakhro,1099067663
Abdullah bin Hamad bin Isa Al Khalifa,1241499929
Ahmed bin Mohamed Al Khalifa,1221144846
Ali bin Khalifa Al Khalifa,1251137123
Essam Khalaf,1006167519
Fahmi al-Jowder,1172576081
Hala bint Mohammed Al Khalifa,1232948277
Ibrahim ibn Khalifa Al Khalifa,1156409493
Mai bint Mohammed Al Khalifa,1217876419
Salman bin Khalifa Al Khalifa,1247375519
Saud Kanoo,1098699647
Abdulhussain bin Ali Mirza,1195787872
Abdullatif Al-Mahmood,1227285970
Abdulrahman al-Nuaimi,1235804624
Ammar Qambar,1140605737
Hamad Al Kooheji,1233118749
Khalid Al Maskati,1209519423
Mohammed Al-Buainain,1063213013
Mohammed bin Khalifa bin Ahmed,1244455253
Mohammed bin Khalifa bin Ali Al Khalifa,1202322111
Rasheed Mohammed Al Maraj,1247375502
Abdul Motaleb,1245374567
Abdulla Hassan Saif,1219928150
Abul Hashim,1232200030
Ahmed Al-Salloum,1244755894
Ali bin Saleh Al Saleh,1239617504
Chowdhury Shamsuddin Ahmed,1237261756
Isa Qassim,1249444464
Oli Ahad,1247061966
Salman bin Hamad Al Khalifa,1250494329
AKM Hafizuddin,1246694478
Aminul Islam Rabel,1245379837
Ashab Uddin Ahmad,1245380479
Farid Ahmed,1245375794
M Hossain Ali,1242815841
Mohammad A. Arafat,1250896485
Mohammad Manjur Alam,1245377984
Selina Banu,1183475136
Shafiqur Rahman Badsha,1245374148
AKM Fazlul Kabir Chowdhury,1245380545
Aminul Islam Chowdhury,1175807916
Anwarul Karim Chowdhury,1245395466
Birendra Kishore Roaza,1246126702
Bishnu Chattopadhyay,1242147738
Moinuddin Ahmed Chowdhury,1166369458
Nurul Huq Bhuiyan,1236303322
Sarwar Jan Chowdhury,1245377291
Shahinur Pasha Chowdhury,1245379554
Yusuf Ali Chowdhury,1228415190
Abdul Halim Ghaznavi,1237265302
Debendra Nath Ghosh,1240939624
Haji Mohammad Danesh,1230176939
James Leo Ferguson,1212687396
